;Mixture;x1;x2;SMILES1;SMILES2;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Mixture Count emv binary;Mixture Count all
241;1-heptanol__dibutyl ether;1-heptanol;dibutyl ether;CCCCCCCO;CCCCOCCCC;55.0;0.0;55.0;0.0;0.0;0.0;0.0;110.0
246;2,2,4-trimethylpentane__methyl tert-butyl ether;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;55.0;0.0;55.0;0.0;0.0;0.0;0.0;110.0
89;n-butanol__dimethoxytetraglycol;n-butanol;dimethoxytetraglycol;CCCCO;COCCOCCOCCOCCOC;110.0;0.0;0.0;0.0;0.0;0.0;0.0;110.0
90;diethylene glycol monohexyl ether__water;diethylene glycol monohexyl ether;water;CCCCCCOCCOCCO;O;109.0;0.0;0.0;0.0;0.0;0.0;0.0;109.0
91;1-propanol__2,2,4-trimethylpentane;1-propanol;2,2,4-trimethylpentane;CCCO;CC(C)CC(C)(C)C;108.0;0.0;0.0;0.0;0.0;0.0;0.0;108.0
117;2-(2-methoxyethoxy)ethanol__water;2-(2-methoxyethoxy)ethanol;water;COCCOCCO;O;91.0;0.0;16.0;0.0;0.0;0.0;0.0;107.0
146;1,4-dimethylbenzene__cyclohexane;1,4-dimethylbenzene;cyclohexane;Cc1ccc(C)cc1;C1CCCCC1;81.0;0.0;26.0;0.0;0.0;0.0;0.0;107.0
93;glycerin__water;glycerin;water;OCC(O)CO;O;107.0;0.0;0.0;0.0;0.0;0.0;0.0;107.0
175;1,3-benzenediol__water;1,3-benzenediol;water;Oc1cccc(O)c1;O;72.0;0.0;35.0;0.0;0.0;0.0;0.0;107.0
138;2,2-bis(hydroxymethyl)-1,3-propanediol__water;2,2-bis(hydroxymethyl)-1,3-propanediol;water;OCC(CO)(CO)CO;O;84.0;0.0;22.0;0.0;0.0;0.0;0.0;106.0
95;propylene glycol__water;propylene glycol;water;CC(O)CO;O;106.0;0.0;0.0;0.0;0.0;0.0;0.0;106.0
744;methanol__2-methyl-1-propanol;methanol;2-methyl-1-propanol;CO;CC(C)CO;0.0;0.0;0.0;105.0;0.0;0.0;0.0;105.0
99;2-(2-methoxyethoxy)ethanol__tert-butyl ethyl ether;2-(2-methoxyethoxy)ethanol;tert-butyl ethyl ether;COCCOCCO;CCOC(C)(C)C;105.0;0.0;0.0;0.0;0.0;0.0;0.0;105.0
98;methanol__ethylbenzene;methanol;ethylbenzene;CO;CCc1ccccc1;105.0;0.0;0.0;0.0;0.0;0.0;0.0;105.0
97;2-methoxyethanol__tert-butyl ethyl ether;2-methoxyethanol;tert-butyl ethyl ether;COCCO;CCOC(C)(C)C;105.0;0.0;0.0;0.0;0.0;0.0;0.0;105.0
743;methanol__1-butanol;methanol;1-butanol;CO;CCCCO;0.0;0.0;0.0;105.0;0.0;0.0;0.0;105.0
742;methanol__1-propanol;methanol;1-propanol;CO;CCCO;0.0;0.0;0.0;105.0;0.0;0.0;0.0;105.0
