;InChI;Count;Component;SMILES
157;InChIKey=COBPKKZHLDDMTB-UHFFFAOYSA-N;85;2-[2-(2-Butoxyethoxy)ethoxy]ethanol;CCCCOCCOCCOCCO
158;InChIKey=YCIMNLLNPGFGHC-UHFFFAOYSA-N;80;benzene-1,2-diol;Oc1ccccc1O
159;InChIKey=POLCUAVZOMRGSN-UHFFFAOYSA-N;79;1-propoxypropane;CCCOCCC
160;InChIKey=UNVGBIALRHLALK-UHFFFAOYSA-N;75;Hexane-1,5-diol;CC(O)CCCCO
161;InChIKey=GUBGYTABKSRVRQ-UHFFFAOYSA-N;71;2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol;OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
162;InChIKey=VNWKTOKETHGBQD-UHFFFAOYSA-N;67;methane;C
163;InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N;66;ETHANE;CC
164;InChIKey=GGBJHURWWWLEQH-UHFFFAOYSA-N;66;Butylcyclohexane;CCCCC1CCCCC1
165;InChIKey=FBPFZTCFMRRESA-UHFFFAOYSA-N;66;hexane-1,2,3,4,5,6-hexol;OCC(O)C(O)C(O)C(O)CO
166;InChIKey=IIEWJVIFRVWJOD-UHFFFAOYSA-N;66;Ethylcyclohexane;CCC1CCCCC1
167;InChIKey=VCJPCEVERINRSG-UHFFFAOYSA-N;66;1,2,4-Trimethylcyclohexane;CC1CCC(C)C(C)C1
168;InChIKey=GUBGYTABKSRVRQ-QRZGKKJRSA-N;64;(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol;OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
169;InChIKey=ZFFMLCVRJBZUDZ-UHFFFAOYSA-N;63;2,3-Dimethylbutane;CC(C)C(C)C
170;InChIKey=YLQBMQCUIZJEEH-UHFFFAOYSA-N;63;FURAN;o1cccc1
171;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;62;2,2-Dimethylbutane;CCC(C)(C)C
172;InChIKey=BSYVTEYKTMYBMK-UHFFFAOYSA-N;60;oxolan-2-ylmethanol;OCC1CCCO1
173;InChIKey=KFRVYYGHSPLXSZ-UHFFFAOYSA-N;58;2-Ethoxy-2-methylbutane;CCOC(C)(C)CC
174;InChIKey=VAJVDSVGBWFCLW-UHFFFAOYSA-N;58;3-Phenylpropan-1-ol;OCCCc1ccccc1
175;InChIKey=BGJSXRVXTHVRSN-UHFFFAOYSA-N;53;1,3,5-Trioxane;C1OCOCO1
176;InChIKey=LCZVSXRMYJUNFX-UHFFFAOYSA-N;53;2-[2-(2-hydroxypropoxy)propoxy]propan-1-ol;CC(O)COC(C)COC(C)CO
177;InChIKey=XPFVYQJUAUNWIW-UHFFFAOYSA-N;48;furan-2-ylmethanol;OCc1occc1
178;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;45;Ethoxyethane;CCOCC
179;InChIKey=HEBKCHPVOIAQTA-NGQZWQHPSA-N;40;(2S,4R)-pentane-1,2,3,4,5-pentol;OC[C@H](O)C(O)[C@H](O)CO
180;InChIKey=VQHSOMBJVWLPSR-UHFFFAOYSA-N;40;4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhexane-1,2,3,5,6-pentol;OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO
181;InChIKey=ISWSIDIOOBJBQZ-UHFFFAOYSA-N;39;PHENOL;Oc1ccccc1
182;InChIKey=ARXJGSRGQADJSQ-UHFFFAOYSA-N;38;1-Methoxypropan-2-ol;COCC(C)O
183;InChIKey=OWBTYPJTUOEWEK-UHFFFAOYSA-N;38;;CC(O)C(C)O
184;InChIKey=CBFCDTFDPHXCNY-UHFFFAOYSA-N;38;Icosane;CCCCCCCCCCCCCCCCCCCC
185;InChIKey=OXQHJIGWZNIQDS-UHFFFAOYSA-N;37;2,2-Dimethoxybutane;CCC(C)(OC)OC
186;InChIKey=YJTKZCDBKVTVBY-UHFFFAOYSA-N;37;1,3-di(phenyl)benzene;c1ccc(cc1)c2cccc(c2)c3ccccc3
187;InChIKey=CUDYYMUUJHLCGZ-UHFFFAOYSA-N;36;2-(2-methoxypropoxy)propan-1-ol;COC(C)COC(C)CO
188;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;36;2-propan-2-yloxyethanol;CC(C)OCCO
189;InChIKey=OIAQMFOKAXHPNH-UHFFFAOYSA-N;32;1,2-di(phenyl)benzene;c1ccc(cc1)c2ccccc2c3ccccc3
190;InChIKey=GLDOVTGHNKAZLK-UHFFFAOYSA-N;25;Octadecan-1-ol;CCCCCCCCCCCCCCCCCCO
191;InChIKey=MWPLVEDNUUSJAV-UHFFFAOYSA-N;24;ANTHRACENE;c1ccc2cc3ccccc3cc2c1
192;InChIKey=FBPFZTCFMRRESA-GUCUJZIJSA-N;24;(2R,3S,4R,5S)-hexane-1,2,3,4,5,6-hexol;OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
193;InChIKey=WQZGKKKJIJFFOK-SVZMEOIVSA-N;24;;OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
194;InChIKey=YNPNZTXNASCQKK-UHFFFAOYSA-N;24;Phenanthrene;c1ccc2c(c1)ccc3ccccc23
195;InChIKey=HEBKCHPVOIAQTA-UHFFFAOYSA-N;24;pentane-1,2,3,4,5-pentol;OCC(O)C(O)C(O)CO
196;InChIKey=UFWIBTONFRDIAS-UHFFFAOYSA-N;22;NAPHTHALENE;c1ccc2ccccc2c1
197;InChIKey=OCKPCBLVNKHBMX-UHFFFAOYSA-N;22;Butylbenzene;CCCCc1ccccc1
198;InChIKey=ODLMAHJVESYWTB-UHFFFAOYSA-N;22;Propylbenzene;CCCc1ccccc1
199;InChIKey=SZXQTJUDPRGNJN-UHFFFAOYSA-N;21;3-(3-hydroxypropoxy)propan-1-ol;OCCCOCCCO
200;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;20;Pentan-3-ol;CCC(O)CC
201;InChIKey=GOOHAUXETOMSMM-UHFFFAOYSA-N;19;;CC1CO1
202;InChIKey=AFABGHUZZDYHJO-UHFFFAOYSA-N;19;2-Methylpentane;CCCC(C)C
203;InChIKey=PFEOZHBOMNWTJB-UHFFFAOYSA-N;19;3-Methylpentane;CCC(C)CC
204;InChIKey=GSNUFIFRDBKVIE-UHFFFAOYSA-N;18;2,5-Dimethylfuran;Cc1oc(C)cc1
205;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;18;3-Methylbutan-2-ol;CC(C)C(C)O
