;InChI;Count;Component;SMILES
130;InChIKey=WJYIASZWHGOTOU-UHFFFAOYSA-N;15;heptan-1-amine;CCCCCCCN
131;InChIKey=OOHAUGDGCWURIT-UHFFFAOYSA-N;15;N,N-dipentylpentan-1-amine;CCCCCN(CCCCC)CCCCC
132;InChIKey=PAFZNILMFXTMIY-UHFFFAOYSA-N;14;Cyclohexanamine;NC1CCCCC1
133;InChIKey=PQPFFKCJENSZKL-UHFFFAOYSA-N;14;pentan-3-amine;CCC(N)CC
134;InChIKey=WGQKYBSKWIADBV-UHFFFAOYSA-N;14;phenylmethanamine;NCc1ccccc1
135;InChIKey=BMFVGAAISNGQNM-UHFFFAOYSA-N;14;3-METHYLBUTAN-1-AMINE;CC(C)CCN
136;InChIKey=IMFACGCPASFAPR-UHFFFAOYSA-N;12;N,N-dibutylbutan-1-amine;CCCCN(CCCC)CCCC
137;InChIKey=YBRBMKDOPFTVDT-UHFFFAOYSA-N;12;2-methylpropan-2-amine;CC(C)(C)N
138;InChIKey=QXNDZONIWRINJR-UHFFFAOYSA-N;11;azocane;C1CCCNCCC1
139;InChIKey=JRBPAEWTRLWTQC-UHFFFAOYSA-N;11;dodecan-1-amine;CCCCCCCCCCCCN
140;InChIKey=MHZGKXUYDGKKIU-UHFFFAOYSA-N;10;decan-1-amine;CCCCCCCCCCN
141;InChIKey=JMMWKPVZQRWMSS-UHFFFAOYSA-N;9;propan-2-yl acetate;CC(C)OC(C)=O
142;InChIKey=BYEAHWXPCBROCE-UHFFFAOYSA-N;9;1,1,1,3,3,3-HEXAFLUOROPROPAN-2-OL;OC(C(F)(F)F)C(F)(F)F
143;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;9;3-Methylbutan-1-ol;CC(C)CCO
144;InChIKey=QOHMWDJIBGVPIF-UHFFFAOYSA-N;9;N,N-diethylpropane-1,3-diamine;CCN(CC)CCCN
145;InChIKey=PLZVEHJLHYMBBY-UHFFFAOYSA-N;8;tetradecan-1-amine;CCCCCCCCCCCCCCN
146;InChIKey=NOWKCMXCCJGMRR-UHFFFAOYSA-N;4;Aziridine;C1CN1
