;Mixture;Count;x1;x2;SMILES1;SMILES2
521;ethanol, 2-ethoxy-__water;12;ethanol, 2-ethoxy-;water;CCOCCO;O
524;2-propanol__methane;12;2-propanol;methane;CC(C)O;C
525;isobutanol__water;12;isobutanol;water;CC(C)CO;O
528;methanol__tetrahydrofuran;12;methanol;tetrahydrofuran;CO;C1CCOC1
530;ethane, 1,1'-oxybis-__1,3-dioxolane;11;ethane, 1,1'-oxybis-;1,3-dioxolane;CCOCC;C1COCO1
531;2-methoxyethanol__1,3-dioxolane;11;2-methoxyethanol;1,3-dioxolane;COCCO;C1COCO1
532;pentan-1-ol__1,3-dioxolane;11;pentan-1-ol;1,3-dioxolane;CCCCCO;C1COCO1
537;ethane, 1,1'-oxybis-__pentan-1-ol;11;ethane, 1,1'-oxybis-;pentan-1-ol;CCOCC;CCCCCO
540;ethanol, 2-ethoxy-__1,3-dioxolane;11;ethanol, 2-ethoxy-;1,3-dioxolane;CCOCCO;C1COCO1
545;1,4-dioxane__water;10;1,4-dioxane;water;C1COCCO1;O
547;2-propanol__ethane;10;2-propanol;ethane;CC(C)O;CC
558;(RS)-2-butanol__water;9;(RS)-2-butanol;water;CCC(C)O;O
564;ethane__pentane;9;ethane;pentane;CC;CCCCC
567;isopropyl ether__isooctane;8;isopropyl ether;isooctane;CC(C)OC(C)C;CCCCCC(C)C
573;methane__butane;6;methane;butane;C;CCCC
579;methanol__2-methoxyethanol;5;methanol;2-methoxyethanol;CO;COCCO
590;methane__ethane;4;methane;ethane;C;CC
591;methanol__ethane;3;methanol;ethane;CO;CC
