;Mixture;Count;x1;x2;SMILES1;SMILES2
912;propan-1-ol__tert-pentyl alcohol;10;propan-1-ol;tert-pentyl alcohol;CCCO;CCC(C)(C)O
920;ethanol__tert-pentyl alcohol;10;ethanol;tert-pentyl alcohol;CCO;CCC(C)(C)O
923;methanol__tert-pentyl alcohol;10;methanol;tert-pentyl alcohol;CO;CCC(C)(C)O
927;butan-1-ol__tert-pentyl alcohol;10;butan-1-ol;tert-pentyl alcohol;CCCCO;CCC(C)(C)O
928;2-propanol__ethane;10;2-propanol;ethane;CC(C)O;CC
933;pentane__cyclohexane;10;pentane;cyclohexane;CCCCC;C1CCCCC1
936;pentan-1-ol__tert-pentyl alcohol;10;pentan-1-ol;tert-pentyl alcohol;CCCCCO;CCC(C)(C)O
941;(RS)-2-butanol__water;9;(RS)-2-butanol;water;CCC(C)O;O
942;tetrahydrofuran__1-hexanol;9;tetrahydrofuran;1-hexanol;C1CCOC1;CCCCCCO
944;1-propanol__tetrahydropyran;9;1-propanol;tetrahydropyran;CCCO;C1CCOCC1
945;ethane__pentane;9;ethane;pentane;CC;CCCCC
951;1-butanol__ethane;9;1-butanol;ethane;CCCCO;CC
952;1,4-dioxane__tetrahydropyran;9;1,4-dioxane;tetrahydropyran;C1COCCO1;C1CCOCC1
959;1-pentanol__water;9;1-pentanol;water;CCCCCO;O
964;2-methyl-2-butanol__water;8;2-methyl-2-butanol;water;CCC(C)(C)O;O
965;isopropyl ether__isooctane;8;isopropyl ether;isooctane;CC(C)OC(C)C;CCCCCC(C)C
967;2-pentanol__water;8;2-pentanol;water;CCCC(C)O;O
978;methane__butane;6;methane;butane;C;CCCC
997;methanol__2-methoxyethanol;5;methanol;2-methoxyethanol;CO;COCCO
1000;tetrahydrofuran__1,4-dioxane;5;tetrahydrofuran;1,4-dioxane;C1CCOC1;C1COCCO1
1011;tert-butyl ethyl ether__water;4;tert-butyl ethyl ether;water;CCOC(C)(C)C;O
1012;tert-amyl methyl ether__water;4;tert-amyl methyl ether;water;CCC(C)(C)OC;O
1024;methane__ethane;4;methane;ethane;C;CC
1058;methanol__ethane;3;methanol;ethane;CO;CC
1085;methylcyclopentane__methyl cellosolve;1;methylcyclopentane;methyl cellosolve;CC1CCCC1;COCCO
1086;methylcyclohexane__methyl cellosolve;1;methylcyclohexane;methyl cellosolve;CC1CCCCC1;COCCO
1091;methyl cellosolve__cyclooctane;1;methyl cellosolve;cyclooctane;COCCO;C1CCCCCCC1
1097;cyclopentane__cycloheptane;1;cyclopentane;cycloheptane;C1CCCC1;C1CCCCCC1
1109;methyl cellosolve__cyclohexane;1;methyl cellosolve;cyclohexane;COCCO;C1CCCCC1
1110;methyl cellosolve__n-heptane;1;methyl cellosolve;n-heptane;COCCO;CCCCCCC
1113;methyl cellosolve__n-hexane;1;methyl cellosolve;n-hexane;COCCO;CCCCCC
