;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Excess molar heat capacity, J/K/mol;Excess molar heat capacity, J/K/mol_std
106202;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.4968;313.15;101.0;-0.275;-0.00275
106203;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.4968;318.15;101.0;-0.473;-0.00473
106204;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.4968;323.15;101.0;-0.58;-0.0058
106205;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.4968;328.15;101.0;-0.7;-0.007
106206;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.4968;333.15;101.0;-0.849;-0.00849
106207;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.4968;338.15;101.0;-1.03;-0.0103
106208;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.4968;343.15;101.0;-1.17;-0.0117
106209;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.4968;348.15;101.0;-1.28;-0.0128
106210;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.4968;353.15;101.0;-1.4;-0.014
106211;j.jct.2007.04.011;1-butanol;1,4-butanediol;CCCCO;OCCCCO;107569-51-7;110-63-4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1-butanol__1,4-butanediol;0.5919;293.15;101.0;0.005;5e-05
